id,Status,Title,Issue Link,PR or Commit Link,Trigger,Symptom,Cause (sub-category),Cause (high-level),Fix Pattern
1,Closed,Objective-C method fragment needs keyword escape,https://github.com/rust-lang/rust-bindgen/issues/2242,https://github.com/rust-lang/rust-bindgen/pull/2359,Function,Compilation Error,Invalid Identifier,IDRE,
2,Open,Objective-C anonymous category need to be merged to main type,https://github.com/rust-lang/rust-bindgen/issues/2241,,Class,Compilation Error,Duplicate Definition,IDRE,
3,Closed,derive/impl fail inconsistently for blocked uint32_t/etc,https://github.com/rust-lang/rust-bindgen/issues/2211,,Tool Configuration Option;Struct,Incorrect Output,Missing Derived Traits;Misbehaving Configuration Option,DTE;TBE,
4,Closed,Duplicate definitions for Write1,https://github.com/rust-lang/rust-bindgen/issues/2202,https://github.com/rust-lang/rust-bindgen/pull/2341,Function,Compilation Error,Duplicate Definition,IDRE,
5,Closed,"Panic with ""not an item"" with nested templates, nested classes, inheritance, and constructors",https://github.com/rust-lang/rust-bindgen/issues/2075,https://github.com/rust-lang/rust-bindgen/commit/d1d2eb62d36c462416a606c680e6b4ba4716daab,Template;Class;Struct,Crash,Panic,TRE,Wrapping in if
6,Closed,Panic resolving typerefs,https://github.com/rust-lang/rust-bindgen/issues/2039,,Template;Type Alias;Class,Crash,Panic,TRE,
7,Closed,Panic when a template argument refers to a function-local C++ class,https://github.com/rust-lang/rust-bindgen/issues/2036,https://github.com/rust-lang/rust-bindgen/pull/2037,Template;Function;Struct,Crash,Panic,TRE,Guard Clause
8,Closed,A struct with a flexible array member breaks alignment of other fields,https://github.com/rust-lang/rust-bindgen/issues/2017,,Flexible Array Member;Struct,Incorrect Output,Offset Mismatch,MEM,
9,Closed,Build error generated in output if a function takes an argument named `sym` and `--dynamic-loading` is specified,https://github.com/rust-lang/rust-bindgen/issues/2014,https://github.com/rust-lang/rust-bindgen/commit/b21086cc3ba5aaeea53082e0618733a1b354daab,Tool Configuration Option; Function,Compilation Error,Incorrect Data Type;Name Shadowing Error,UFC;IDRE,
10,Closed,Docstrings missing for constant values in C++ headers.,https://github.com/rust-lang/rust-bindgen/issues/1995,https://github.com/rust-lang/rust-bindgen/pull/2027,Comment,Incorrect Output,Incorrect Comment,UFC,Add If block;Reorder Code Block
11,Closed,objc_interface_type.h generates non-compiling code.,https://github.com/rust-lang/rust-bindgen/issues/1954,https://github.com/rust-lang/rust-bindgen/pull/2176,Struct;Class,Compilation Error,Missing Derived Traits;Missing Lifetime Bound,DTE;INC,
12,Closed,Wrong layout generated for some structures with complex bit fields,https://github.com/rust-lang/rust-bindgen/issues/1947,https://github.com/rust-lang/rust-bindgen/pull/1950,Bitfield;Struct,Incorrect Output,Size Mismatch,MEM,
13,Closed,Dyn keyword is not escaped.,https://github.com/rust-lang/rust-bindgen/issues/1946,https://github.com/rust-lang/rust-bindgen/pull/1951,Union,Compilation Error,Invalid Identifier,IDRE,Add match arm
14,Closed,Wrong bindings generated for some pack(2) struct,https://github.com/rust-lang/rust-bindgen/issues/1934,https://github.com/rust-lang/rust-bindgen/pull/1935,Struct,Incorrect Output,Size Mismatch,MEM,Mutate Condition;Insert if-else block;Insert Conditional Branch
15,Closed,*_enum() takes item name after parse_callbacks processing instead of before,https://github.com/rust-lang/rust-bindgen/issues/1891,https://github.com/rust-lang/rust-bindgen/commit/f4d10c360453e91973cd08189af6185bb7c964c9,Tool Configuration Option;Enum,Incorrect Output,Misbehaving Configuration Option,TBE,Mutate method chain
16,Closed,Multidimensional array binding has incorrect mutability.,https://github.com/rust-lang/rust-bindgen/issues/1849,https://github.com/rust-lang/rust-bindgen/pull/1861,Array;Constant,Incorrect Output,Incorrect Mutability;Incorrect Function Signature,UFC,Add condition in assign
17,Closed,Bindgen generates incorrect return types for C++ class constructors in wasm32-unknown-emscripten,https://github.com/rust-lang/rust-bindgen/issues/1822,https://github.com/rust-lang/rust-bindgen/pull/1877,Class;Function,Incorrect Output,Incorrect Function Signature,UFC,Wrapping in if
18,Closed,Confusing behavior of regex parameters,https://github.com/rust-lang/rust-bindgen/issues/1783,https://github.com/rust-lang/rust-bindgen/pull/2345,Tool Configuration Option,Incorrect Output,Misbehaving Configuration Option,TBE,Wrapping in method
19,Closed,Bindgen generates wrong bingings for function,https://github.com/rust-lang/rust-bindgen/issues/1778,https://github.com/rust-lang/rust-bindgen/commit/b1a1ebc918e44f4aa928878dae20fa7be6c87043,Function;Type Alias,Incorrect Output,Incorrect Function Signature,UFC,Mutate Method Chain;Wrapping in else
20,Closed,Rust method wrapper is still emitted for blacklisted functions,https://github.com/rust-lang/rust-bindgen/issues/1774,https://github.com/rust-lang/rust-bindgen/pull/1775,Tool Configuration Option;Class;Function,Incorrect Output,Misbehaving Configuration Option,TBE,Guard Clause
21,Closed,mixing `header` and `header_contents` always panics,https://github.com/rust-lang/rust-bindgen/issues/1771,https://github.com/rust-lang/rust-bindgen/commit/51778893c4cb18eb11cbfe83a72046f7cb0f3eac,Tool Configuration Option,Crash,Panic,TRE,Mutate Method Chain;add if block
